timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
368,9976.830679381908,9687.318373578282,9778.43676712166,10032.034750907957
369,10147.54639082807,9944.834817227387,9944.943345480257,10196.428719906458
370,10216.1531358529,10067.7417201465,10012.25310219511,10260.91396234409
371,10423.882498806905,10341.326801306346,10207.192153870436,10458.062545341903
372,10380.08174574208,10298.8703217012,10161.14392970282,10413.528700032412
373,10662.979335116082,10705.711810839804,10420.172963858748,10709.505775749614
374,10666.046682852972,10723.446307880784,10423.746602630164,10713.761637447127
375,10607.97993503112,10618.028421948997,10371.691051303704,10652.16407305513
376,10660.869898669898,10685.508918698533,10423.680037530874,10707.76871171119
377,10798.128186573347,10937.448870965336,10571.493036936688,10831.227974454489
378,10844.01863875183,10936.246724489429,10612.73020352688,10867.341116162013
379,10925.46074445391,11062.883298359944,10690.952267169012,10955.769722479845
380,10795.455640743883,10904.803638752684,10561.967056037303,10820.7559912763
381,10863.80024021002,11026.206381026952,10628.184424815594,10896.976488038952
382,10960.90991859416,11177.835404873706,10723.82856129748,10999.418687157331
383,11149.16103802214,11441.87533132934,10907.078261025245,11192.871377833091
384,11069.463049131276,11334.390670362349,10829.47409939442,11109.729263577343
385,10898.089719016256,11115.93813683863,10670.78765485784,10943.506174982873
386,11009.179441650247,11264.265555460484,10769.422166074206,11045.751513855004
387,10865.001168775923,11052.74332463538,10644.953312773134,10891.999580567654
388,10937.710730577754,11164.864661343325,10707.356943106195,10966.56251029928
389,10924.780222794876,11157.815847485055,10694.17902967011,10953.336644321735
390,10963.129036907783,11211.02651207412,10728.429046341416,10993.84381028483
391,11049.22284201847,11333.02248245872,10807.813224737754,11078.033930484258
392,11060.91933852958,11397.600649138398,10839.546443822454,11118.14291858044
393,10912.92002238655,11194.179069574026,10700.882619045502,10968.232592942499
394,10885.602764977766,11132.961807073842,10672.541732408752,10935.91447110122
395,10985.86991609157,11232.660988622158,10770.41649035483,11029.681319250512
396,10757.70015666427,10921.643721309809,10557.24963835803,10796.731906114985
397,10891.344050041713,11077.31576671872,10684.39647892835,10929.135857424802
398,10982.867034589572,11208.87832999853,10760.606245972944,11014.58337940156
399,10998.964349230066,11299.449947095804,10772.878882171,11024.995483416307
400,11233.06152150949,11647.477840654408,10984.30252989446,11251.20741362058
401,11187.072798692534,11599.31431252433,10941.0079075441,11204.560065461998
402,11141.31987721309,11523.000737300223,10900.017839886374,11158.35719247386
