timestep,Proposed Method,A2C,DQN,Buy and Hold
830,12973.974841136744,12631.846998034498,11913.695642810624,13969.79921915584
831,13060.221410351216,12712.145778892762,11913.695643624416,14012.908634670704
832,13054.004865212812,12704.015099745744,11925.024378335323,13733.612490109766
833,12973.897858233591,12628.577247109888,11799.33665804224,13826.042398610412
834,12718.122795719886,12376.825193334927,11585.927787121766,13767.142961010546
835,12800.066625197522,12458.758677840638,11656.349652670804,13706.437247279904
836,13031.38099453447,12693.286087649216,11813.574122512448,13812.53629472055
837,12809.866502977651,12492.030619322426,11813.574120501455,13817.4169531377
838,12878.840224483623,12557.473639154166,11947.50367330985,13835.843020717843
839,13059.516747344633,12730.92707128805,12119.081626604328,14072.065756811477
840,13047.943105394324,12716.718095029371,12089.61095314929,14065.639704314006
841,13041.902602144655,12710.569058486846,12074.489874620102,13924.676548361182
842,13057.336629153791,12726.05723086645,12061.374653653009,13971.565046969961
843,13065.856647975976,12734.719002459004,12055.357081693452,13782.183472354964
844,13115.27044681962,12778.64133961221,12110.441010860814,13591.905718785683
845,13108.572047943022,12776.92881009055,12240.358848245198,13672.743867218804
846,13156.453538543949,12824.693563486902,12255.634223889085,13714.504075508565
847,13149.762081329778,12820.7050912929,12288.345128261659,13519.119856294366
848,13158.196687849397,12835.301334506345,12292.974029918096,13712.297438772317
849,13242.673359472747,12907.832021825621,12574.874136408995,13842.252775112116
850,13314.612812909918,12981.83164186275,12812.028194255246,13836.121557442037
851,13421.17785057862,13080.30422696756,13022.64321674637,13731.326598084648
852,13428.48101524233,13086.430689886436,13022.64321681155,13387.983041106072
853,13463.093186780818,13128.216375185364,13240.803859063555,13490.260943352172
854,13402.239644712628,13074.828001859834,13160.65689924888,13783.694113423517
855,13216.072287174267,12903.99774500338,12937.699815880733,13508.273097931222
856,13171.16374686047,12857.425320788834,12868.847697962728,13595.702425202991
857,13136.452164864588,12824.558026386432,12750.329221245405,13831.219535056143
858,13169.179501913279,12859.767825284429,12827.845875182435,13822.52404177078
859,13253.69550411488,12931.389408208888,12769.20553325688,13815.19989949603
860,13180.7194314128,12863.72194933982,12784.832642348334,13832.86513683195
861,13014.250425380891,12706.290009776125,12459.603088020727,13842.11719702911
862,13016.050408226016,12709.08380899016,12433.764203500845,13902.99612355241
863,13059.236939414244,12750.768258109843,12456.972782857401,13895.3268071733
864,13088.330731447044,12776.21572788419,12449.2365901682,13961.85593495005
865,13078.914568174534,12768.790536294751,12384.871464505784,13953.403327517288
866,12946.433269002207,12635.063402688134,12200.285898785738,13982.2075860667
867,13039.817085485542,12719.262132409644,12235.56293964536,14087.325560781754
868,12962.283069302217,12643.055573345197,12150.464816130005,14182.59602603942
869,13080.76136515696,12749.843875739283,12277.493105979032,14327.608429193117
870,13152.575299681524,12817.870505398552,12360.73454311107,14334.905093099194
871,13174.172508610276,12838.756944501827,12360.734543317329,14389.127362823065
872,13123.668730343594,12786.528585423435,12313.05661142888,14315.883249035154
873,13066.487710626505,12730.880858813103,12300.75262859255,14076.329580571208
874,12962.449601932634,12626.157531754629,12136.196671934988,14020.845257122905
875,12817.757635071508,12484.776320984494,11937.275113942647,13978.083829107289
876,12831.693238261576,12500.451323988244,11948.70738744217,14017.876639702645
877,12713.559631046575,12385.785307645692,11791.856595693482,14136.261332451571
878,12717.028104672292,12389.730538371963,11760.608381849192,14037.895205546625
879,12696.302990147557,12363.45707796783,11644.913775143059,13811.5545415263
880,12571.50920016446,12247.365801771815,11603.910020154724,13814.501347910553
881,12542.157175058666,12222.452304235516,11540.194149629606,13875.663754917448
882,12633.136958889148,12308.464312984182,11650.248835465254,13917.036967430757
883,12627.77462923328,12308.557900136777,11568.393758081382,13900.000932892799
884,12575.65792278474,12259.064284259612,11527.99972501732,13726.371016169063
885,12502.532906564751,12193.688668619045,11328.77330704439,13841.356370306035
886,12335.054121834874,12030.601988580773,11267.403139634778,13732.935080648474
887,12378.657876667556,12071.881365270649,11253.955181022584,13890.236470658907
888,12500.050919507165,12187.675545571916,11371.013552672031,13996.353980450202
889,12536.978889866992,12222.05862499813,11427.012782905413,14023.85817463264
890,12587.089306604195,12271.380333401752,11443.313110407133,13956.422155369713
891,12601.851625984633,12282.37907091938,11446.065230063257,13875.087407184814
892,12614.370281287976,12291.806457294084,11446.065230197284,13732.589100005453
893,12642.13416721465,12317.223068445588,11435.61376568218,13549.174484509807
894,12730.7473781448,12404.053584873656,11478.694644834773,13565.91460227221
895,12739.000254634597,12413.782256674953,11525.42902531155,13408.491911577838
896,12795.929342044576,12460.556743526313,11498.78890670435,13408.167737715328
897,12971.704551268012,12630.620656306895,11576.12136838672,13367.041448611411
898,13032.624777022991,12687.52329944848,11584.646207052876,13182.80837790553
899,13132.086777241551,12783.126597547318,11700.644898092998,13136.04241082813
900,13052.28288187125,12700.131712835237,11581.297163670668,13256.34413876817
901,12986.69586601764,12639.054057548432,11530.300363608918,13242.286675769854
902,13222.779482187098,12864.574496857636,11648.582494667526,13180.959084447813
903,12937.453452375286,12584.21760341084,11401.36218654492,13067.04595528293
904,12909.375126614692,12571.99625739168,11392.076201913427,12855.152904451408
905,12977.798506317546,12633.610070066028,11495.287635493147,12904.961862245013
906,12877.674438641156,12528.474454166735,11396.643079183155,13063.638703860472
907,12987.068117514977,12636.40488134602,11616.61434953243,13110.340002185974
908,12924.54782637011,12583.848781297227,11601.695882269862,13175.1402931124
909,13047.823356712644,12704.897919930694,11709.778652419129,13186.917892244766
910,13113.460074081562,12757.69347702779,11694.16715307642,13214.639076346495
911,13076.574173040344,12721.35915798867,11638.96318265385,13240.088245516285
912,13042.836836674012,12688.938975174917,11592.38010621175,13359.472724112133
913,13086.698470326744,12727.6704661965,11616.276619701834,13368.889122020139
914,13278.98651924847,12931.543370819583,11751.034805979634,13426.939638260736
915,13285.792359555306,12937.23528613322,11731.221874311163,13655.090024068046
916,13365.764947385494,13012.581418845191,11806.99499562235,13729.09741492202
917,13437.99745421526,13078.92280322833,11806.994996280211,13863.24756990546
918,13401.78181390464,13044.392976007586,11774.209016045404,13740.79392696243
919,13417.653240609468,13058.271448502872,11821.816055511945,13651.320769164307
920,13408.589982284077,13050.217515725539,11815.37862558784,13943.857227492615
921,13392.766050758424,13035.03116299082,11751.453450004636,13564.624891302885
922,13602.533916399838,13227.318799801184,11908.796213906791,13534.192883854936
923,13526.607416377576,13158.86306328788,11879.303802077047,13629.664724226586
924,13544.744755443156,13179.060749783392,11933.49797907999,13500.974061096693
925,13724.093115958429,13344.440047507256,12118.985784834093,13652.678138178982
926,13750.77176688993,13369.330367903587,12150.274688278105,13577.352549427593
927,13650.449200860654,13273.136012127225,12127.706779246317,13738.769315532249
928,13682.82805205868,13301.966318255403,12101.240204155543,13816.572027869082
929,13624.710739840772,13252.626846145147,11941.255012902975,13772.830537253709
930,13762.13037353449,13369.76697948938,12126.316586119594,13721.57503724126
931,13585.931249080451,13197.034144026764,12126.31658453666,13789.976550634266
932,13661.441354709306,13283.06892608424,12180.077265584216,14061.107417227093
933,13756.657327244038,13370.349014688656,12229.939888337978,14072.575202662549
934,13784.152231829197,13397.580494274143,12229.939888584016,14177.71399750364
935,13796.067797899674,13413.131271455672,12229.93988869721,14278.234580789443
936,13987.391079887842,13584.232458998387,12229.939890432132,14246.392012408884
937,13871.263758265643,13474.045998386977,12229.939889391497,14256.49522970422
938,13811.986864540517,13411.730549962549,12229.939888840454,14247.77156671871
939,13910.521343942934,13513.073685280153,12229.939889743748,14240.249759478496
940,13748.991973910654,13369.734477956414,12229.939888294286,14518.039132058666
941,13678.878417757023,13302.719807845671,12083.997885719438,14412.428400118028
942,13719.45878326227,13339.52748275987,12083.99788609941,14450.357141874389
943,13737.496068078426,13356.088131776713,12074.892395653516,14704.217384564234
944,13701.137017222612,13319.789661708186,12098.161982433883,14744.50051779522
945,14023.505222673522,13632.636586146507,12361.758186130992,14641.146743919178
946,14187.22569037933,13777.93565376391,12528.501612878385,14695.55795346402
947,14285.031791397334,13867.340269370889,12539.346714573338,14631.48586908737
948,14337.623488536747,13922.55535332161,12597.036626413788,14786.40230269434
949,14372.025936557016,13952.705070246417,12753.989335990147,14561.112497998212
950,14471.796236736925,14047.555966366925,12876.900479646549,14640.038480613111
951,14375.10889779197,13951.623114270762,12674.307970185913,14763.10215404216
952,14481.4108579059,14047.106888891063,12731.094124119,14806.180189314318
953,14525.072532886605,14088.016722916416,12773.420143048696,14824.541059322566
954,14614.170701572035,14168.04095707631,12880.214261775978,15074.956819253435
955,14491.66864346049,14050.392244212424,12923.895916796995,14925.947982081685
956,14426.60753947484,13998.898296732154,12987.460257185303,14807.890118907311
957,14139.870645726382,13740.006512371292,12757.604367480906,14982.378745449696
958,14030.386702685979,13629.958023565432,12624.14937568952,14770.440537282002
959,14041.406073330201,13639.53391088952,12658.94407429182,14675.762966085143
